cnr,courtName,stateName,caseType,case_type_name,filing_date,decision_date,duration_days,duration_days_capped,duration_days_log,tier,filing_month,filing_day,filing_dayofweek,is_old_case,is_very_old_case
APHC010125262020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-03-16,2024-10-16,1675,1675.0,7.424165281042028,hc,3,16,0,1,0
APHC010125262020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-03-16,2024-10-16,1675,1675.0,7.424165281042028,hc,3,16,0,1,0
APHC010125272022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-21,2024-02-09,690,690.0,6.53813982376767,hc,3,21,0,1,0
APHC010120362016,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2016-07-20,2024-08-30,2963,2963.0,7.994294986415977,hc,7,20,2,1,1
APHC010126922021,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2021-03-24,2024-12-11,1358,1358.0,7.214504414151143,hc,3,24,2,1,0
APHC010101572024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-27,2024-04-12,45,45.0,3.828641396489095,hc,2,27,1,0,0
APHC010323752016,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2016-03-03,2024-03-12,2931,2931.0,7.983440063006542,hc,3,3,3,1,1
APHC010323752024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-07-26,2024-08-06,11,11.0,2.4849066497880004,hc,7,26,4,0,0
APHC010319962024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-07-24,2024-07-26,2,2.0,1.0986122886681096,hc,7,24,2,0,0
APHC010116942024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-06,2024-03-28,22,22.0,3.1354942159291497,hc,3,6,2,0,0
APHC010121832015,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2015-06-29,2024-02-21,3159,3159.0,8.058327306580958,hc,6,29,0,1,1
APHC010101732024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-27,2024-03-22,24,24.0,3.2188758248682006,hc,2,27,1,0,0
APHC010113922022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-14,2024-07-22,861,861.0,6.759255270663693,hc,3,14,0,1,0
APHC010115622016,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2016-03-16,2024-02-27,2904,2904.0,7.974188669286011,hc,3,16,2,1,1
APHC010136692022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-24,2024-02-12,690,690.0,6.53813982376767,hc,3,24,3,1,0
APHC010136702022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-24,2024-02-27,705,705.0,6.559615237493242,hc,3,24,3,1,0
APHC010139942024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-19,2024-03-27,8,8.0,2.1972245773362196,hc,3,19,1,0,0
APHC010139952022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-25,2024-02-12,689,689.0,6.536691597591305,hc,3,25,4,1,0
APHC010139962016,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2016-03-08,2024-03-14,2928,2928.0,7.982416346827733,hc,3,8,1,1,1
APHC010141612022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-26,2024-02-15,691,691.0,6.539585955617669,hc,3,26,5,1,0
APHC010101752022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-07,2024-01-31,695,695.0,6.54534966033442,hc,3,7,0,1,0
APHC010106342018,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2018-02-12,2024-08-08,2369,2369.0,7.7706452341291765,hc,2,12,0,1,1
APHC010100162020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-03-03,2024-04-22,1511,1511.0,7.321188556739479,hc,3,3,1,1,0
APHC010100162020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-03-03,2024-04-22,1511,1511.0,7.321188556739479,hc,3,3,1,1,0
APHC010111132009,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2009-07-13,2024-08-12,5509,5509.0,8.61431990214696,hc,7,13,0,1,1
APHC010111122018,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2018-02-14,2024-01-04,2150,2150.0,7.67368812926773,hc,2,14,2,1,1
APHC010141602024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-19,2024-05-09,51,51.0,3.9512437185814275,hc,3,19,1,0,0
APHC010139972022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-25,2024-05-01,768,768.0,6.645090969505644,hc,3,25,4,1,0
APHC010113902024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-05,2024-04-03,29,29.0,3.4011973816621555,hc,3,5,1,0,0
APHC010111142023,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2023-03-06,2024-09-26,570,570.0,6.3473892096560105,hc,3,6,0,1,0
APHC010131802022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-22,2024-02-16,696,696.0,6.546785410760524,hc,3,22,1,1,0
APHC010131812018,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2018-02-20,2024-08-02,2355,2355.0,7.764720544771477,hc,2,20,1,1,1
APHC010133552024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-15,2024-03-26,11,11.0,2.4849066497880004,hc,3,15,4,0,0
APHC010360412023,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2023-07-22,2024-03-27,249,249.0,5.521460917862246,hc,7,22,5,1,0
APHC010100192022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-07,2024-08-02,879,879.0,6.779921907472252,hc,3,7,0,1,0
APHC010109562022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-10,2024-02-05,697,697.0,6.548219102762372,hc,3,10,3,1,0
APHC010125292024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-11,2024-03-14,3,3.0,1.3862943611198906,hc,3,11,0,0,0
APHC010126972022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-21,2024-02-19,700,700.0,6.55250788703459,hc,3,21,0,1,0
APHC010100292024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-27,2024-04-25,58,58.0,4.07753744390572,hc,2,27,1,0,0
APHC010125302022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-21,2024-02-21,702,702.0,6.555356891810665,hc,3,21,0,1,0
APHC010125292021,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2021-03-24,2024-09-06,1262,1262.0,7.141245122350491,hc,3,24,2,1,0
APHC010136732024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-18,2024-03-21,3,3.0,1.3862943611198906,hc,3,18,0,0,0
APHC010509372009,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2009-07-15,2024-07-20,5484,5484.0,8.609772372709331,hc,7,15,2,1,1
APHC010141302016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-03-02,2024-07-02,3044,3044.0,8.021256180143997,hc,3,2,2,1,1
APHC010293132017,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2017-05-09,2024-07-26,2635,2635.0,7.877017895622398,hc,5,9,1,1,1
APHC010277712016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-12-21,2024-12-05,2906,2906.0,7.9748769005588755,hc,12,21,2,1,1
APHC010026132009,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2008-12-23,2024-07-22,5690,5690.0,8.646641258603124,hc,12,23,1,1,1
APHC010587072016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-01-07,2024-02-26,2972,2972.0,7.997326822998097,hc,1,7,3,1,1
APHC010585882016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-12-27,2024-09-10,2814,2814.0,7.942717540573791,hc,12,27,1,1,1
APHC010275432016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-09-09,2024-07-01,2852,2852.0,7.9561263512135,hc,9,9,4,1,1
APHC010331992024,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2024-07-31,2024-09-18,49,49.0,3.912023005428146,hc,7,31,2,0,0
APHC010375372023,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2023-07-28,2024-09-19,419,419.0,6.040254711277414,hc,7,28,4,1,0
APHC010276632021,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2021-08-03,2024-10-15,1169,1169.0,7.064759027791802,hc,8,3,1,1,0
APHC010355522019,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2019-10-29,2024-10-15,1813,1813.0,7.503289630675082,hc,10,29,1,1,1
APHC010290042016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-11-16,2024-08-13,2827,2827.0,7.947325027016463,hc,11,16,2,1,1
APHC010304402021,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2021-08-23,2024-08-21,1094,1094.0,6.9985096422506015,hc,8,23,0,1,0
APHC010278042016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-03-28,2024-10-15,3123,3123.0,8.046869510959576,hc,3,28,0,1,1
APHC010306902006,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2005-12-12,2024-03-05,6658,6561.850000000007,8.803724602110622,hc,12,12,0,1,1
APHC010377292009,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2009-10-20,2024-01-05,5190,5190.0,8.55468163582723,hc,10,20,1,1,1
APHC010382362024,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2024-08-30,2024-12-26,118,118.0,4.77912349311153,hc,8,30,4,0,0
APHC010389282022,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2022-08-01,2024-08-30,760,760.0,6.634633357861686,hc,8,1,0,1,0
APHC010151562017,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2017-01-24,2024-10-01,2807,2807.0,7.940227765145702,hc,1,24,1,1,1
APHC010180732017,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2017-06-29,2024-12-26,2737,2737.0,7.914983005848394,hc,6,29,3,1,1
APHC010241762010,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2010-12-23,2024-01-22,4778,4778.0,8.471986598578159,hc,12,23,3,1,1
APHC010017402020,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2020-01-20,2024-06-29,1622,1622.0,7.392031567514591,hc,1,20,0,1,0
APHC010017402020,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2020-01-20,2024-06-29,1622,1622.0,7.392031567514591,hc,1,20,0,1,0
APHC010365172007,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2007-07-10,2024-01-22,6040,6040.0,8.706324840138741,hc,7,10,1,1,1
APHC010135602016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-06-22,2024-11-06,3059,3059.0,8.026170194946426,hc,6,22,2,1,1
APHC010203812021,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2021-06-18,2024-05-10,1057,1057.0,6.964135612418245,hc,6,18,4,1,0
APHC010457392023,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2023-09-06,2024-08-29,358,358.0,5.883322388488279,hc,9,6,2,1,0
APHC010457212016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-02-03,2024-07-08,3078,3078.0,8.0323601479245,hc,2,3,2,1,1
APHC010818822016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-09-26,2024-04-26,2769,2769.0,7.926602599181384,hc,9,26,0,1,1
APHC010745662016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-09-12,2024-08-29,2908,2908.0,7.975564658495202,hc,9,12,0,1,1
APHC010697152016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-08-27,2024-08-29,2924,2924.0,7.981049759665957,hc,8,27,5,1,1
APHC010888282016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-11-22,2024-07-23,2800,2800.0,7.937731775260109,hc,11,22,1,1,1
APHC010445952009,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2009-10-14,2024-01-02,5193,5193.0,8.555259392222693,hc,10,14,2,1,1
APHC010457292023,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2023-09-06,2024-08-29,358,358.0,5.883322388488279,hc,9,6,2,1,0
APHC010458032009,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2008-11-18,2024-07-16,5719,5719.0,8.651724084373843,hc,11,18,1,1,1
APHC010478172016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-06-06,2024-04-26,2881,2881.0,7.966239776559467,hc,6,6,0,1,1
APHC010697312016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-09-27,2024-07-24,2857,2857.0,7.957877358489813,hc,9,27,1,1,1
APHC010753922016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-09-12,2024-07-20,2868,2868.0,7.9617188159813645,hc,9,12,0,1,1
APHC010621762016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-09-16,2024-05-07,2790,2790.0,7.934155233536322,hc,9,16,4,1,1
APHC010134882024,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2024-03-15,2024-12-26,286,286.0,5.659482215759621,hc,3,15,4,0,0
APHC010111192016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-03-22,2024-03-14,2914,2914.0,7.977625098784593,hc,3,22,1,1,1
APHC010117252017,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2017-07-03,2024-12-12,2719,2719.0,7.908387159290043,hc,7,3,0,1,1
APHC010149942016,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2016-09-27,2024-07-12,2845,2845.0,7.953669778649798,hc,9,27,1,1,1
APHC010546912024,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2024-12-02,2024-12-17,15,15.0,2.772588722239781,hc,12,2,0,0,0
APHC010390302023,"High Court, Andhra Pradesh",Andhra Pradesh,CRL_A,Criminal Appeal,2023-08-04,2024-09-26,419,419.0,6.040254711277414,hc,8,4,4,1,0
