case_type,domain,sub_category,category,required_documents,optional_documents,time_validity,submission_deadline,format_requirements,number_of_copies,stamp_duty_required,notarization_required
Labour & Employment Disputes,Labour Law,Termination-Wrongful,Employment,"Appointment letter; Termination order; Payslips; Show cause notice; Domestic inquiry report; Charge sheet; Written statement; Demand notice; Union representation; Service records","Attendance records; Performance reviews; Medical records; Leave records; Communication",6 months from termination,At filing,"A4 size; Official correspondence; Appointment letter; Records",3,Yes,No
Labour & Employment Disputes,Labour Law,Service-Promotion,Employment,"Appointment letter; Service record; Promotion order; Seniority list; Performance reviews; Written statement; Representation; Departmental rules; Communication","Attendance records; Performance reviews; Medical records; Leave records; Service records",6 months,At filing,"A4 size; Official correspondence; Appointment letter; Records",3,Yes,No
Labour & Employment Disputes,Labour Law,Harassment-Sexual,Employment,"Appointment letter; Complaint; FIR; Internal committee report; Witness statements; Evidence; Affidavit; Communication; Medical records","Attendance records; Performance reviews; Medical records; Leave records; Communication",6 months,At filing,"A4 size; Official correspondence; Appointment letter; Sealed records",3,Yes,No
Labour & Employment Disputes,Labour Law,Compensation-Accident,Employment,"Appointment letter; Accident report; Medical reports; Disability certificate; Compensation claim; FIR; Employer details; Witness statements; Treatment records","Attendance records; Performance reviews; Medical records; Leave records; Investigation",6 months,At filing,"A4 size; Official correspondence; Medical records; Compensation forms",3,Yes,No
Corporate & Commercial Law,Corporate Law,Director-Conflict,Corporate,"Board resolution; Shareholders agreement; Memorandum of Association; Articles of Association; Balance sheet; Profit loss; Legal notice; Affidavit; Company documents; Minutes of meetings","Minutes of meetings; Annual reports; Audit reports; Communication; Shareholder records",3 years,At filing,"A4 size; Company seal; Certified copies; Bound",4,Yes,Yes
Corporate & Commercial Law,Corporate Law,Shareholder-Issues,Corporate,"Board resolution; Shareholders agreement; Memorandum of Association; Articles of Association; Balance sheet; Profit loss; Legal notice; Affidavit; Company documents; Shareholder records","Minutes of meetings; Annual reports; Audit reports; Communication; Shareholder records",3 years,At filing,"A4 size; Company seal; Certified copies; Bound",4,Yes,Yes
Corporate & Commercial Law,Corporate Law,Oppression-Mismanagement,Corporate,"Board resolution; Shareholders agreement; Memorandum of Association; Articles of Association; Balance sheet; Profit loss; Legal notice; Affidavit; Company documents; Complaints","Minutes of meetings; Annual reports; Audit reports; Communication; Shareholder records",3 years,At filing,"A4 size; Company seal; Certified copies; Bound",4,Yes,Yes
Corporate & Commercial Law,Corporate Law,Contract-Breach,Corporate,"Board resolution; Shareholders agreement; Memorandum of Association; Articles of Association; Balance sheet; Profit loss; Legal notice; Affidavit; Company documents; Contract copy","Minutes of meetings; Annual reports; Audit reports; Communication; Shareholder records",3 years,At filing,"A4 size; Company seal; Certified copies; Bound",4,Yes,Yes
Corporate & Commercial Law,Corporate Law,Arbitration-Challenge,Corporate,"Arbitration agreement; Statement of claim; Statement of defense; Documents; Witness list; Evidence; Appointment notice; Award; Financial statements; Challenge grounds","All previous correspondence; Email exchanges; Expert reports; Investigations; Notes",12 months,At filing,"A4 size; Numbered pages; Indexed; Original agreement",4,Yes,Yes
Corporate & Commercial Law,Corporate Law,Arbitration-Enforcement,Corporate,"Arbitration agreement; Statement of claim; Statement of defense; Documents; Witness list; Evidence; Appointment notice; Award; Financial statements; Enforcement petition","All previous correspondence; Email exchanges; Expert reports; Investigations; Notes",12 months,At filing,"A4 size; Numbered pages; Indexed; Original agreement",4,Yes,Yes
Banking & Debt Recovery,Corporate Law,Contract-Breach,Financial,"Loan agreement; Mortgage deed; Promissory note; Guarantee agreement; Default notice; Account statements; Recovery demand letter; Property valuation report; Financial statements; NPA declaration","Financial statements; Income proof; Tax returns; Security documents; Property papers",3 years from default,At filing,"A4 size; Original loan documents; Stamp paper; Clear copies",3,Yes,Yes
Banking & Debt Recovery,Corporate Law,Corporate-Fraud,Financial,"Loan agreement; Mortgage deed; Promissory note; Guarantee agreement; Default notice; Account statements; Recovery demand letter; Property valuation report; Financial statements; Fraud complaint","Financial statements; Income proof; Tax returns; Security documents; Property papers",3 years from default,At filing,"A4 size; Original loan documents; Stamp paper; Clear copies",3,Yes,Yes
Banking & Debt Recovery,Corporate Law,Insolvency,Financial,"Loan agreement; Mortgage deed; Promissory note; Guarantee agreement; Default notice; Account statements; Recovery demand letter; Property valuation report; Financial statements; Insolvency petition","Financial statements; Income proof; Tax returns; Security documents; Property papers",3 years from default,At filing,"A4 size; Original loan documents; Stamp paper; Clear copies",3,Yes,Yes
Intellectual Property,Civil Law,Trade Mark,IP,"Application form; Specimen/trademark/design; Power of Attorney; Claim details; Description; Drawings; Priority documents; Renewal request; Affidavit; Specification","Market research; User affidavits; Registration certificates; Licenses; Priority documents",File at application,At filing,"A4 size; Drawings on separate sheets; CD/DVD; Clear copies",3,Yes,Yes
Intellectual Property,Civil Law,Copyright,IP,"Application form; Specimen/trademark/design; Power of Attorney; Claim details; Description; Drawings; Priority documents; Renewal request; Affidavit; Work sample","Market research; User affidavits; Registration certificates; Licenses; Priority documents",File at application,At filing,"A4 size; Drawings on separate sheets; CD/DVD; Clear copies",3,Yes,Yes
Intellectual Property,Civil Law,Patent,IP,"Application form; Claim details; Description; Drawings; Priority documents; Renewal request; Affidavit; Specification; Abstract; Claims","Market research; User affidavits; Registration certificates; Licenses; Priority documents",File at application,At filing,"A4 size; Drawings on separate sheets; CD/DVD; Clear copies",3,Yes,Yes
Intellectual Property,Civil Law,Design,IP,"Application form; Design drawings; Description; Power of Attorney; Priority documents; Affidavit; Renewal request; Design representation","Market research; User affidavits; Registration certificates; Licenses; Drawings",File at application,At filing,"A4 size; Drawings on separate sheets; CD/DVD; Clear copies",3,Yes,Yes
Intellectual Property,Civil Law,Geographical Indication,IP,"Application form; Specimen/trademark/design; Power of Attorney; Claim details; Description; Drawings; Priority documents; Renewal request; Affidavit; Product description","Market research; User affidavits; Registration certificates; Licenses; Priority documents",File at application,At filing,"A4 size; Drawings on separate sheets; CD/DVD; Clear copies",3,Yes,Yes
Tax Law (Direct & Indirect),Administrative Law,Taxation-Property,Tax,"Assessment order; Returns (ITR/GST); Demand notice; Appeal memo; Account books; Financial statements; Payment receipts; Notice of demand; Audit report; Computation sheet","Audit reports; Tax payment challans; Correspondence; Assessments; Ledger",30 days from order,Within 30 days,"A4 size; Printed; Bound; Indexed; Section references",4,Yes,Yes
Tax Law (Direct & Indirect),Administrative Law,Taxation-Service,Tax,"Assessment order; Returns (ITR/GST); Demand notice; Appeal memo; Account books; Financial statements; Payment receipts; Notice of demand; Audit report; GST returns","Audit reports; Tax payment challans; Correspondence; Assessments; GST records",30 days from order,Within 30 days,"A4 size; Printed; Bound; Indexed; Section references",4,Yes,Yes
Tax Law (Direct & Indirect),Administrative Law,Taxation-Professional,Tax,"Assessment order; Returns (ITR/GST); Demand notice; Appeal memo; Account books; Financial statements; Payment receipts; Notice of demand; Audit report; Professional tax returns","Audit reports; Tax payment challans; Correspondence; Assessments; Professional tax records",30 days from order,Within 30 days,"A4 size; Printed; Bound; Indexed; Section references",4,Yes,Yes
Cyber Crime & IT Act,Criminal Law,Cyber Crime-Hacking,Criminal,"FIR; Complaint; Electronic evidence; CD/DVD/Screenshots; Hard disk/device; Expert report; IP logs; Communication records; Affidavit; Forensic report","Server logs; Emails; Chat logs; Digital signatures; Certificate from ISP; Call records",Immediate,At complaint filing,"Digital media; Printouts; Clear copies; Original devices",3,No,Yes
Cyber Crime & IT Act,Criminal Law,Cyber Crime-Identity Theft,Criminal,"FIR; Complaint; Electronic evidence; CD/DVD/Screenshots; Hard disk/device; Expert report; IP logs; Communication records; Affidavit; Forensic report; Identity documents","Server logs; Emails; Chat logs; Digital signatures; Certificate from ISP; Identity proof",Immediate,At complaint filing,"Digital media; Printouts; Clear copies; Original devices",3,No,Yes
Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,Criminal,"FIR; Complaint; Electronic evidence; CD/DVD/Screenshots; Hard disk/device; Expert report; IP logs; Communication records; Affidavit; Forensic report; Phishing emails","Server logs; Emails; Chat logs; Digital signatures; Certificate from ISP; Email records",Immediate,At complaint filing,"Digital media; Printouts; Clear copies; Original devices",3,No,Yes
Cyber Crime & IT Act,Criminal Law,Cyber Crime-Cyber Stalking,Criminal,"FIR; Complaint; Electronic evidence; CD/DVD/Screenshots; Hard disk/device; Expert report; IP logs; Communication records; Affidavit; Forensic report; Harassment evidence","Server logs; Emails; Chat logs; Digital signatures; Certificate from ISP; Social media records",Immediate,At complaint filing,"Digital media; Printouts; Clear copies; Original devices",3,No,Yes
Insurance Claims,Consumer Law,Services-Insurance,Consumer,"Insurance policy; Claim form; Medical reports; Discharge certificate; Medical bills; Income proof; FIR/Police report; Death certificate; Hospital records; Claim denial letter","Doctor's certificate; Test reports; Treatment records; Photos; Police report",12 months from incident,At filing,"A4 size; Original policy; Medical records; Photos",3,No,Yes
Insurance Claims,Consumer Law,Torts-Motor Accident,Consumer,"Insurance policy; Claim form; Medical reports; Discharge certificate; Medical bills; Income proof; FIR/Police report; Death certificate; Hospital records; Claim denial letter","Doctor's certificate; Test reports; Treatment records; Photos; Police report",12 months from incident,At filing,"A4 size; Original policy; Medical records; Photos",3,No,Yes
Environmental Law,Criminal Law,Environment-Pollution,Environmental,"Complaint; Expert report; Site inspection report; Photographs; Affidavit; NOC from PCB; Laboratory reports; Consent orders; Government orders; Notice","Environmental impact report; Public hearing records; Document of violation; Photos; Maps",6 months,At filing,"A4 size; Bound; Photos; Maps; Reports",4,No,Yes
Environmental Law,Criminal Law,Environment-Forest,Environmental,"Complaint; Expert report; Site inspection report; Photographs; Affidavit; NOC from Forest Department; Laboratory reports; Consent orders; Government orders; Notice","Environmental impact report; Public hearing records; Document of violation; Photos; Maps",6 months,At filing,"A4 size; Bound; Photos; Maps; Reports",4,No,Yes
Human Rights & PIL,Constitutional Law,PIL-Public Interest,Constitutional,"PIL petition; Affidavit; Supporting documents; Newspaper reports; Government reports; Expert reports; Communication; Public interest evidence; Media clippings; Survey reports","Photographs; Videos; Witness statements; Survey reports; Expert opinions",No time limit,Immediate,"A4 size; Bound; Indexed; Media clippings; Photos",5,No,Yes
Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 14,Constitutional,"PIL petition; Affidavit; Supporting documents; Newspaper reports; Government reports; Expert reports; Communication; Public interest evidence; Constitutional arguments","Photographs; Videos; Witness statements; Survey reports; Expert opinions",No time limit,Immediate,"A4 size; Bound; Indexed; Media clippings; Photos",5,No,Yes
Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 15,Constitutional,"PIL petition; Affidavit; Supporting documents; Newspaper reports; Government reports; Expert reports; Communication; Public interest evidence; Constitutional arguments","Photographs; Videos; Witness statements; Survey reports; Expert opinions",No time limit,Immediate,"A4 size; Bound; Indexed; Media clippings; Photos",5,No,Yes
Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 19,Constitutional,"PIL petition; Affidavit; Supporting documents; Newspaper reports; Government reports; Expert reports; Communication; Public interest evidence; Constitutional arguments","Photographs; Videos; Witness statements; Survey reports; Expert opinions",No time limit,Immediate,"A4 size; Bound; Indexed; Media clippings; Photos",5,No,Yes
Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 21,Constitutional,"PIL petition; Affidavit; Supporting documents; Newspaper reports; Government reports; Expert reports; Communication; Public interest evidence; Constitutional arguments","Photographs; Videos; Witness statements; Survey reports; Expert opinions",No time limit,Immediate,"A4 size; Bound; Indexed; Media clippings; Photos",5,No,Yes
Arbitration & Mediation,Corporate Law,Arbitration-Enforcement,Commercial,"Arbitration agreement; Statement of claim; Statement of defense; Documents; Witness list; Evidence; Appointment notice; Award; Financial statements; Terms of reference","All previous correspondence; Email exchanges; Expert reports; Investigations; Notes",12 months,At filing,"A4 size; Numbered pages; Indexed; Original agreement",4,Yes,Yes
Arbitration & Mediation,Corporate Law,Arbitration-Challenge,Commercial,"Arbitration agreement; Statement of claim; Statement of defense; Documents; Witness list; Evidence; Appointment notice; Award; Financial statements; Challenge grounds","All previous correspondence; Email exchanges; Expert reports; Investigations; Notes",12 months,At filing,"A4 size; Numbered pages; Indexed; Original agreement",4,Yes,Yes
Arbitration & Mediation,Corporate Law,Arbitration-International,Commercial,"Arbitration agreement; Statement of claim; Statement of defense; Documents; Witness list; Evidence; Appointment notice; Award; Financial statements; International provisions","All previous correspondence; Email exchanges; Expert reports; Investigations; Notes",12 months,At filing,"A4 size; Numbered pages; Indexed; Original agreement",4,Yes,Yes
Arbitration & Mediation,Corporate Law,Arbitration-Appointment,Commercial,"Arbitration agreement; Statement of claim; Statement of defense; Documents; Witness list; Evidence; Appointment notice; Award; Financial statements; Appointment application","All previous correspondence; Email exchanges; Expert reports; Investigations; Notes",12 months,At filing,"A4 size; Numbered pages; Indexed; Original agreement",4,Yes,Yes
Real Estate & RERA,Property Law,Lease-Residential,Property,"RERA registration; Agreement for sale; Payment receipts; Completion certificate; Occupancy certificate; Building plan; Architecture design; NOC; Affidavit; Evidence; Project details","Clearance certificates; Utility connections; Municipal tax receipts; Property tax; Approvals",File at registration,At filing,"A4 size; Plans on letterhead; Certified copies; Maps",3,Yes,Yes
Real Estate & RERA,Property Law,Housing-Society,Property,"RERA registration; Agreement for sale; Payment receipts; Completion certificate; Occupancy certificate; Building plan; Architecture design; NOC; Affidavit; Evidence; Society documents","Clearance certificates; Utility connections; Municipal tax receipts; Property tax; Approvals",File at registration,At filing,"A4 size; Plans on letterhead; Certified copies; Maps",3,Yes,Yes
Real Estate & RERA,Property Law,Building-Construction,Property,"RERA registration; Agreement for sale; Payment receipts; Completion certificate; Occupancy certificate; Building plan; Architecture design; NOC; Affidavit; Evidence; Construction documents","Clearance certificates; Utility connections; Municipal tax receipts; Property tax; Approvals",File at registration,At filing,"A4 size; Plans on letterhead; Certified copies; Maps",3,Yes,Yes
Real Estate & RERA,Property Law,Lease-Commercial,Property,"RERA registration; Agreement for sale; Payment receipts; Completion certificate; Occupancy certificate; Building plan; Architecture design; NOC; Affidavit; Evidence; Lease agreement","Clearance certificates; Utility connections; Municipal tax receipts; Property tax; Approvals",File at registration,At filing,"A4 size; Plans on letterhead; Certified copies; Maps",3,Yes,Yes
Immigration & Passport Matters,Administrative Law,Licensing,Immigration,"Passport application; Visa application; Passport size photos; Travel itinerary; Hotel booking; Financial proof; Employment letter; Income tax returns; Sponsorship letter; Address proof; Cover letter","Ticket copies; Travel insurance; Police clearance; Medical reports; Qualifications; Certificates",10 years/At application,At filing,"Recent photos; Format as per specifications; Clear copies",2,Yes,No
Immigration & Passport Matters,Administrative Law,Service-Transfer,Immigration,"Passport application; Visa application; Passport size photos; Travel itinerary; Hotel booking; Financial proof; Employment letter; Income tax returns; Sponsorship letter; Address proof; Transfer documents","Ticket copies; Travel insurance; Police clearance; Medical reports; Qualifications; Certificates",10 years/At application,At filing,"Recent photos; Format as per specifications; Clear copies",2,Yes,No
Medical Negligence,Civil Law,Torts-Medical Negligence,Civil/Tort,"Medical records; Treatment history; Prescription; Discharge summary; Medical bills; Expert report; FIR; Complaint; Affidavit; Medical literature; Consent forms","Photos; Witness statements; Consent forms; Medical board opinion; Test reports",2 years from incident,At filing,"A4 size; Original medical records; Doctors notes; Photos",3,Yes,Yes
