case_id,case_type,domain,sub_category,state,district,intensity_level,mediation_willingness,settlement_possibility,legal_complexity,time_to_resolve_days,financial_impact,number_of_parties,eligibility_score,mediation_eligible
CASE00018,NI Act / Cheque Bounce,Criminal Law,IPC-Criminal Breach of Trust,Rajasthan,Jaipur,High,2,6,3,285,6,5,10.23,No
CASE00019,Consumer Protection,Consumer Law,Services-Travel,Gujarat,Vadodara,Medium,3,3,9,352,7,4,42,Conditional
CASE00020,Corporate & Commercial Law,Corporate Law,Arbitration-Challenge,West Bengal,Kolkata,Low,3,7,8,321,7,4,37,No
CASE00021,Consumer Protection,Consumer Law,Products-Electronic,Assam,Jorhat,Low,10,10,4,192,9,5,92,Yes
CASE00022,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Cyber Stalking,Uttar Pradesh,Allahabad,Medium,2,7,5,215,9,6,33.12,No
CASE00023,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Hacking,West Bengal,Asansol,High,3,10,5,333,6,2,11,No
CASE00024,Corporate & Commercial Law,Corporate Law,Contract-Breach,Haryana,Hisar,Low,2,1,3,114,1,2,52,Conditional
CASE00025,Constitutional Law,Constitutional Law,Writ-Mandamus,Assam,Jorhat,High,6,1,8,284,7,6,0,No
CASE00026,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Hacking,Gujarat,Ahmedabad,Medium,3,9,4,146,1,4,39,No
CASE00027,Civil Suits,Civil Law,Property-Title,Punjab,Chandigarh,Low,10,4,4,281,8,6,93,Yes
CASE00028,Environmental Law,Criminal Law,Environment-Pollution,Kerala,Thiruvananthapuram,Medium,2,6,8,197,10,5,17.6,No
CASE00029,Medical Negligence,Civil Law,Torts-Medical Negligence,Punjab,Patiala,Low,6,3,5,228,1,3,78,Yes
CASE00030,Constitutional Law,Constitutional Law,Writ-Mandamus,Madhya Pradesh,Indore,High,2,4,8,153,1,4,0,No
CASE00031,NI Act / Cheque Bounce,Criminal Law,IPC-Cheating,Madhya Pradesh,Bhopal,Medium,4,8,9,178,9,2,19,No
CASE00032,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Uttar Pradesh,Varanasi,Low,1,10,7,104,3,4,39.56,No
CASE00033,Arbitration & Mediation,Corporate Law,Arbitration-Challenge,Assam,Nagaon,Medium,3,2,6,73,6,2,37,No
CASE00034,Motor Accident Claims,Civil Law,Torts-Motor Accident,Uttar Pradesh,Varanasi,Medium,1,4,4,332,9,4,53.36,Conditional
CASE00035,Immigration & Passport Matters,Administrative Law,Service-Transfer,Tamil Nadu,Tirunelveli,Low,4,2,8,203,2,2,43.26,Conditional
CASE00036,Intellectual Property,Civil Law,Trade Mark,Haryana,Hisar,Medium,7,1,5,58,9,5,70,Yes
CASE00037,Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,Tamil Nadu,Coimbatore,Medium,7,4,5,86,2,5,54.59,Conditional
CASE00038,Arbitration & Mediation,Corporate Law,Arbitration-International,Kerala,Kochi,Medium,9,6,8,153,1,3,50.6,Conditional
CASE00039,Insurance Claims,Consumer Law,Services-Insurance,Assam,Jorhat,Medium,2,8,3,93,3,5,50,Conditional
CASE00040,Bail Applications,Criminal Law,IPC-Hurt,Bihar,Munger,Medium,4,8,6,368,8,3,29.04,No
CASE00041,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,Maharashtra,Pune,Low,5,2,7,259,8,2,57.75,Conditional
CASE00042,Intellectual Property,Civil Law,Geographical Indication,Haryana,Hisar,Medium,6,2,5,354,7,3,72,Yes
CASE00043,Constitutional Law,Constitutional Law,Writ-Mandamus,Maharashtra,Nagpur,Medium,5,8,6,307,4,2,23.1,No
CASE00044,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 14,Uttar Pradesh,Ghaziabad,Medium,2,2,3,75,8,6,13.8,No
CASE00045,Criminal Appeals,Criminal Law,IPC-Murder,Karnataka,Mangalore,Medium,3,7,8,148,7,6,16.64,No
CASE00046,Environmental Law,Criminal Law,Environment-Forest,Uttar Pradesh,Varanasi,High,7,5,7,120,8,6,20.24,No
CASE00047,Medical Negligence,Civil Law,Torts-Medical Negligence,Madhya Pradesh,Gwalior,Medium,5,1,8,120,1,6,47,Conditional
CASE00048,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 21,Gujarat,Surat,Medium,6,6,6,92,10,3,21,No
CASE00049,Property Disputes,Property Law,Building-Construction,Gujarat,Surat,Low,8,10,9,208,9,4,65,Yes
CASE00050,Family Disputes,Family Law,Domestic Violence-Physical,Punjab,Amritsar,High,3,6,3,207,8,6,44,Conditional
CASE00051,Real Estate & RERA,Property Law,Housing-Society,Maharashtra,Navi Mumbai,Low,9,3,3,314,2,3,88.2,Yes
CASE00052,Bail Applications,Criminal Law,IPC-Murder,Maharashtra,Thane,Medium,2,3,5,187,2,3,27.3,No
CASE00053,Company / Insolvency (NCLT-NCLAT),Corporate Law,Oppression-Mismanagement,Delhi,South Delhi,Low,6,8,3,353,9,5,68.04,Yes
CASE00054,Bail Applications,Criminal Law,IPC-Murder,Kerala,Kochi,Medium,8,2,3,286,6,6,56.1,Conditional
CASE00055,Family Disputes,Family Law,Domestic Violence-Physical,Uttar Pradesh,Allahabad,Medium,9,2,7,239,7,6,71.76,Yes
CASE00056,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 19,Delhi,Central Delhi,Medium,10,3,7,171,1,5,36.72,No
CASE00057,Medical Negligence,Civil Law,Services-Health,Tamil Nadu,Madurai,Medium,3,4,4,63,5,5,55.62,Conditional
CASE00058,Family Disputes,Family Law,Inheritance-Intestate,Madhya Pradesh,Bhopal,Low,4,5,6,174,3,2,81,Yes
CASE00059,Tax Law (Direct & Indirect),Administrative Law,Taxation-Service,Punjab,Patiala,Medium,10,3,6,400,6,2,62,Yes
CASE00060,Insurance Claims,Consumer Law,Torts-Motor Accident,Uttar Pradesh,Agra,Medium,2,10,9,352,1,2,33.12,No
CASE00061,POCSO & Juvenile Justice,Criminal Law,IPC-Gang Rape,Maharashtra,Nagpur,Medium,9,10,8,353,2,6,42,Conditional
CASE00062,POCSO & Juvenile Justice,Criminal Law,IPC-Rape,Madhya Pradesh,Gwalior,Medium,9,2,6,248,5,2,51,Conditional
CASE00063,Tax Law (Direct & Indirect),Administrative Law,Taxation-Property,Maharashtra,Solapur,High,4,9,9,337,8,5,11.55,No
CASE00064,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 15,Rajasthan,Bikaner,Medium,2,9,6,151,1,5,10.23,No
CASE00065,Consumer Protection,Consumer Law,Practices-E-commerce,Rajasthan,Jodhpur,High,6,1,7,361,3,5,39.99,No
CASE00066,Tax Law (Direct & Indirect),Administrative Law,Taxation-Property,Delhi,West Delhi,Medium,10,8,8,75,6,6,50.76,Conditional
CASE00067,Real Estate & RERA,Property Law,Building-Construction,Karnataka,Mangalore,Medium,1,7,8,103,5,3,24.96,No
CASE00068,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Hacking,Punjab,Amritsar,Medium,10,2,3,101,3,2,55,Conditional
CASE00069,Medical Negligence,Civil Law,Services-Health,West Bengal,Howrah,Medium,4,4,6,267,8,5,64,Yes
CASE00070,POCSO & Juvenile Justice,Criminal Law,IPC-Acid Attack,Maharashtra,Nagpur,High,7,2,4,99,3,6,28.35,No
CASE00071,Tax Law (Direct & Indirect),Administrative Law,Taxation-Service,Bihar,Darbhanga,Medium,9,5,4,192,2,6,55.44,Conditional
CASE00072,Motor Accident Claims,Civil Law,Torts-Motor Accident,Kerala,Thiruvananthapuram,Medium,2,6,4,355,5,6,66,Yes
CASE00073,Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,West Bengal,Kolkata,Medium,8,1,4,382,3,6,54,Conditional
CASE00074,Intellectual Property,Civil Law,Geographical Indication,Punjab,Chandigarh,High,10,5,4,169,7,4,64,Yes
CASE00075,Constitutional Law,Constitutional Law,Writ-Habeas Corpus,Uttar Pradesh,Ghaziabad,Medium,2,5,6,369,1,4,6.44,No
CASE00076,Environmental Law,Criminal Law,Environment-Pollution,Punjab,Bathinda,Medium,3,2,7,46,7,6,39,No
CASE00077,Intellectual Property,Civil Law,Design,Gujarat,Vadodara,Medium,3,2,7,234,5,2,60,Yes
CASE00078,Environmental Law,Criminal Law,Environment-Forest,Uttar Pradesh,Kanpur,Low,4,1,4,225,5,3,46,Conditional
CASE00079,Family Disputes,Family Law,Divorce-Mutual Consent,West Bengal,Hooghly,Medium,4,2,3,236,6,6,64,Yes
CASE00080,Banking & Debt Recovery,Corporate Law,Contract-Breach,Gujarat,Jamnagar,Low,10,3,3,115,9,3,70,Yes
CASE00081,Tax Law (Direct & Indirect),Administrative Law,Taxation-Property,Delhi,North Delhi,Medium,10,4,4,150,8,3,73.44,Yes
CASE00082,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 15,Madhya Pradesh,Jabalpur,Medium,7,6,7,57,9,3,24,No
CASE00083,Banking & Debt Recovery,Corporate Law,Corporate-Fraud,West Bengal,Siliguri,Medium,7,6,6,30,8,4,49,Conditional
CASE00084,Civil Suits,Civil Law,Contract-Breach,Karnataka,Mysore,Medium,8,6,9,31,4,6,59.28,Conditional
CASE00085,Intellectual Property,Civil Law,Patent,Punjab,Bathinda,Low,3,3,9,81,5,5,60,Yes
CASE00086,Criminal Appeals,Criminal Law,IPC-Cheating,Tamil Nadu,Erode,Low,5,9,4,44,6,4,59.74,Conditional
CASE00087,Environmental Law,Criminal Law,Environment-Pollution,Kerala,Kollam,Medium,6,2,8,116,4,6,28.6,No
CASE00088,Family Disputes,Family Law,Domestic Violence-Physical,Rajasthan,Jaipur,Low,9,4,8,85,6,6,72.54,Yes
CASE00089,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 21,Bihar,Bhagalpur,Medium,9,2,7,284,5,4,24.64,No
CASE00090,Bail Applications,Criminal Law,IPC-Assault,Tamil Nadu,Tirunelveli,Medium,3,2,5,219,10,3,38.11,No
CASE00091,Real Estate & RERA,Property Law,Housing-Society,Haryana,Faridabad,Medium,3,4,9,285,2,2,29,No
CASE00092,Medical Negligence,Civil Law,Services-Health,Delhi,East Delhi,Medium,1,3,8,107,8,5,36.72,No
CASE00093,Environmental Law,Criminal Law,Environment-Pollution,Delhi,East Delhi,Low,3,8,5,136,8,2,51.84,Conditional
CASE00094,Family Disputes,Family Law,Child Custody-Legal,West Bengal,Siliguri,Low,9,9,3,151,2,2,93,Yes
CASE00095,Corporate & Commercial Law,Corporate Law,Arbitration-Challenge,Haryana,Gurugram,High,5,9,7,212,6,4,26,No
CASE00096,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Karnataka,Belgaum,Low,1,8,5,84,9,6,45.76,Conditional
CASE00097,Writ Petitions,Constitutional Law,Writ-Quo Warranto,Maharashtra,Nagpur,Medium,3,5,6,352,2,5,16.8,No
CASE00098,Motor Accident Claims,Civil Law,Torts-Motor Accident,Punjab,Patiala,Low,1,8,7,146,7,6,67,Yes
CASE00099,Cyber Crime & IT Act,Criminal Law,IPC-Cheating,Haryana,Rohtak,Low,3,10,3,184,10,5,49,Conditional
CASE00100,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Bihar,Munger,Medium,6,2,5,302,1,3,41.36,Conditional
CASE00101,Civil Suits,Civil Law,Property-Title,Gujarat,Surat,Medium,3,7,3,143,4,6,59,Conditional
CASE00102,Constitutional Law,Constitutional Law,Fundamental Rights-Article 14,Maharashtra,Mumbai,Medium,4,6,8,188,6,5,0,No
CASE00103,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Tamil Nadu,Chennai,Low,3,10,4,39,9,3,46.35,Conditional
CASE00104,Property Disputes,Property Law,Land-Encroachment,Assam,Nagaon,Medium,5,3,6,397,8,5,57,Conditional
CASE00105,Company / Insolvency (NCLT-NCLAT),Corporate Law,Insolvency,Maharashtra,Amravati,High,8,9,7,339,8,3,38.85,No
CASE00106,POCSO & Juvenile Justice,Criminal Law,IPC-Rape,West Bengal,Durgapur,Medium,7,7,4,361,10,3,51,Conditional
CASE00107,NI Act / Cheque Bounce,Criminal Law,IPC-Criminal Breach of Trust,West Bengal,Siliguri,Low,10,8,8,308,9,4,52,Conditional
CASE00108,Environmental Law,Criminal Law,Environment-Forest,Maharashtra,Pune,High,6,3,9,33,5,6,11.55,No
CASE00109,Criminal Appeals,Criminal Law,IPC-Cheating,Tamil Nadu,Salem,Low,8,4,5,332,2,4,61.8,Yes
CASE00110,Consumer Protection,Consumer Law,Products-Electronic,Maharashtra,Mumbai,Medium,5,6,6,101,1,2,61.95,Yes
CASE00111,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Uttar Pradesh,Kanpur,Medium,6,3,9,272,5,3,28.52,No
CASE00112,Civil Suits,Civil Law,Property-Title,Bihar,Darbhanga,Low,2,6,4,55,3,3,62.48,Yes
CASE00113,Family Disputes,Family Law,Maintenance-Spousal,Punjab,Ludhiana,High,1,10,3,209,8,4,34,No
CASE00114,Medical Negligence,Civil Law,Torts-Medical Negligence,Maharashtra,Solapur,Medium,4,10,6,303,1,4,63,Yes
CASE00115,Real Estate & RERA,Property Law,Housing-Society,Kerala,Alappuzha,Low,3,3,9,100,3,6,56.1,Conditional
CASE00116,Civil Suits,Civil Law,Contract-Breach,Madhya Pradesh,Jabalpur,Low,7,6,3,368,9,5,83,Yes
CASE00117,Family Disputes,Family Law,Divorce-Mutual Consent,Gujarat,Rajkot,Low,5,1,8,233,7,3,71,Yes
CASE00118,Real Estate & RERA,Property Law,Housing-Society,Assam,Dibrugarh,Medium,9,9,5,303,3,5,69,Yes
CASE00119,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Gujarat,Surat,Low,6,4,9,363,4,4,39,No
CASE00120,Medical Negligence,Civil Law,Torts-Medical Negligence,Bihar,Patna,High,9,1,9,319,4,3,38.72,No
CASE00121,Intellectual Property,Civil Law,Copyright,Assam,Nagaon,Medium,3,4,7,111,7,6,58,Conditional
CASE00122,Bail Applications,Criminal Law,IPC-Murder,Gujarat,Vadodara,Low,5,1,8,284,10,6,43,Conditional
CASE00123,Labour & Employment Disputes,Labour Law,Industrial-Layoff,Uttar Pradesh,Meerut,Low,9,7,3,99,10,6,73.6,Yes
CASE00124,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Identity Theft,Assam,Nagaon,Medium,8,2,6,40,3,4,53,Conditional
CASE00125,NI Act / Cheque Bounce,Criminal Law,IPC-Cheating,Maharashtra,Nagpur,Medium,10,8,9,308,8,4,39.9,No
CASE00126,Cyber Crime & IT Act,Criminal Law,IPC-Cheating,Bihar,Muzaffarpur,Medium,3,9,6,253,2,2,29.04,No
CASE00127,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,Assam,Silchar,High,3,6,5,318,3,3,19,No
CASE00128,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Maharashtra,Mumbai,Low,4,3,3,320,9,3,59.85,Conditional
CASE00129,NI Act / Cheque Bounce,Criminal Law,IPC-Cheating,Tamil Nadu,Erode,Low,5,4,7,32,10,5,51.5,Conditional
CASE00130,Bail Applications,Criminal Law,IPC-Hurt,Karnataka,Belgaum,Medium,8,10,9,264,4,4,31.2,No
CASE00131,Labour & Employment Disputes,Labour Law,Wages-Overtime,Karnataka,Mangalore,Medium,9,8,8,151,6,3,53.04,Conditional
CASE00132,Criminal Appeals,Criminal Law,IPC-Cheating,Bihar,Darbhanga,Medium,8,5,5,259,4,5,42.24,Conditional
CASE00133,Motor Accident Claims,Civil Law,Torts-Motor Accident,Maharashtra,Nagpur,Medium,7,4,3,80,9,4,74.55,Yes
CASE00134,Criminal Appeals,Criminal Law,IPC-Cheating,Maharashtra,Mumbai,Medium,1,3,8,221,1,5,17.85,No
CASE00135,Corporate & Commercial Law,Corporate Law,Shareholder-Issues,Gujarat,Vadodara,High,3,9,5,96,6,6,19,No
CASE00136,Immigration & Passport Matters,Administrative Law,Licensing,Maharashtra,Solapur,Low,1,7,7,123,3,2,58.8,Conditional
CASE00137,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 15,Gujarat,Ahmedabad,Medium,6,1,6,187,1,5,25,No
CASE00138,Criminal Appeals,Criminal Law,IPC-Cheating,Madhya Pradesh,Ujjain,Medium,4,3,6,359,3,2,32,No
CASE00139,Environmental Law,Criminal Law,Environment-Forest,Haryana,Gurugram,Medium,8,1,3,378,5,4,47,Conditional
CASE00140,NI Act / Cheque Bounce,Criminal Law,IPC-Cheating,Karnataka,Davangere,Medium,2,8,5,278,3,4,33.28,No
CASE00141,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Cyber Stalking,Haryana,Hisar,Medium,8,4,7,182,10,6,53,Conditional
CASE00142,Family Disputes,Family Law,Divorce-Contested,West Bengal,Kolkata,Low,1,8,6,165,2,5,74,Yes
CASE00143,Corporate & Commercial Law,Corporate Law,Shareholder-Issues,Karnataka,Bangalore,High,2,4,4,232,9,2,13.52,No
CASE00144,Consumer Protection,Consumer Law,Practices-E-commerce,Karnataka,Davangere,High,4,1,8,393,10,4,21.84,No
CASE00145,POCSO & Juvenile Justice,Criminal Law,IPC-Acid Attack,Delhi,South Delhi,Low,8,7,3,307,3,5,68.04,Yes
CASE00146,Family Disputes,Family Law,Maintenance-Spousal,Haryana,Panipat,Low,10,6,8,373,4,6,80,Yes
CASE00147,Writ Petitions,Constitutional Law,Writ-Certiorari,Punjab,Amritsar,Low,9,1,5,135,6,3,46,Conditional
CASE00148,Environmental Law,Criminal Law,Environment-Forest,Rajasthan,Bikaner,Medium,4,7,6,71,6,5,39.06,No
CASE00149,Insurance Claims,Consumer Law,Torts-Motor Accident,Tamil Nadu,Erode,Medium,7,10,4,278,10,6,64.89,Yes
CASE00150,Motor Accident Claims,Civil Law,Torts-Motor Accident,Rajasthan,Kota,Medium,4,7,8,183,8,5,48.36,Conditional
CASE00151,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 14,Uttar Pradesh,Kanpur,Low,10,8,7,264,2,6,47.84,Conditional
CASE00152,Motor Accident Claims,Civil Law,Torts-Motor Accident,Madhya Pradesh,Gwalior,Medium,5,6,4,344,4,2,70,Yes
CASE00153,Intellectual Property,Civil Law,Trade Mark,West Bengal,Hooghly,High,2,2,4,360,9,2,41,Conditional
CASE00154,Motor Accident Claims,Civil Law,Torts-Motor Accident,Gujarat,Surat,Low,7,7,7,125,1,3,90,Yes
CASE00155,Human Rights & PIL,Constitutional Law,PIL-Public Interest,Madhya Pradesh,Indore,Medium,8,7,5,343,8,2,32,No
CASE00156,Consumer Protection,Consumer Law,Services-Travel,Karnataka,Belgaum,Medium,1,10,4,191,2,6,52,Conditional
CASE00157,Real Estate & RERA,Property Law,Lease-Commercial,Assam,Dibrugarh,Low,8,9,6,40,3,6,81,Yes
CASE00158,Consumer Protection,Consumer Law,Practices-E-commerce,Rajasthan,Ajmer,Medium,2,5,6,123,10,6,50.22,Conditional
CASE00159,Family Disputes,Family Law,Domestic Violence-Physical,Assam,Silchar,Low,4,6,9,84,10,3,71,Yes
CASE00160,Immigration & Passport Matters,Administrative Law,Licensing,Bihar,Muzaffarpur,High,2,6,8,31,8,6,1.76,No
CASE00161,Intellectual Property,Civil Law,Patent,Punjab,Jalandhar,Medium,2,7,9,267,3,2,38,No
CASE00162,Civil Suits,Civil Law,Property-Title,Madhya Pradesh,Gwalior,High,8,2,4,90,5,5,51,Conditional
CASE00163,Property Disputes,Property Law,Housing-Society,Uttar Pradesh,Meerut,Medium,10,6,5,168,2,4,68.08,Yes
CASE00164,Arbitration & Mediation,Corporate Law,Arbitration-Challenge,Delhi,West Delhi,Low,8,5,3,171,9,5,74.52,Yes
CASE00165,Bail Applications,Criminal Law,IPC-Assault,Uttar Pradesh,Agra,Medium,8,4,9,343,1,5,34.96,No
CASE00166,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,Uttar Pradesh,Noida,Low,8,9,5,299,9,3,62.56,Yes
CASE00167,Human Rights & PIL,Constitutional Law,Fundamental Rights-Article 19,Delhi,West Delhi,Medium,8,7,3,114,6,4,31.32,No
CASE00168,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Maharashtra,Pune,High,9,1,8,201,3,6,16.8,No
CASE00169,Labour & Employment Disputes,Labour Law,Industrial-Layoff,West Bengal,Durgapur,Medium,4,9,8,93,9,2,39,No
CASE00170,NI Act / Cheque Bounce,Criminal Law,IPC-Criminal Breach of Trust,Rajasthan,Bikaner,Medium,10,1,6,296,3,3,51.15,Conditional
CASE00171,Property Disputes,Property Law,Building-Construction,Rajasthan,Bikaner,Low,1,9,3,200,3,4,49.29,Conditional
CASE00172,Environmental Law,Criminal Law,Environment-Pollution,Haryana,Faridabad,Medium,8,7,5,52,6,4,49,Conditional
CASE00173,Writ Petitions,Constitutional Law,Writ-Quo Warranto,Tamil Nadu,Chennai,Medium,3,5,5,318,4,4,14.42,No
CASE00174,Intellectual Property,Civil Law,Trade Mark,Delhi,East Delhi,Low,6,6,5,395,1,3,95.04,Yes
CASE00175,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Tamil Nadu,Vellore,Medium,3,9,8,310,6,4,18.54,No
CASE00176,Banking & Debt Recovery,Corporate Law,Corporate-Fraud,Haryana,Hisar,Medium,8,2,9,324,8,5,35,No
CASE00177,Arbitration & Mediation,Corporate Law,Arbitration-International,Punjab,Bathinda,Medium,7,9,7,253,9,6,50,Conditional
CASE00178,Civil Suits,Civil Law,Torts-Motor Accident,Gujarat,Ahmedabad,Medium,6,3,7,99,1,6,65,Yes
CASE00179,Civil Suits,Civil Law,Contract-Breach,Gujarat,Rajkot,High,3,5,6,178,6,6,42,Conditional
CASE00180,Tax Law (Direct & Indirect),Administrative Law,Taxation-Professional,Uttar Pradesh,Ghaziabad,Low,2,4,6,262,6,5,54.28,Conditional
CASE00181,Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,Tamil Nadu,Tiruchirappalli,Medium,8,8,6,256,7,6,54.59,Conditional
CASE00182,Civil Suits,Civil Law,Contract-Breach,Rajasthan,Bikaner,Low,7,6,8,152,1,2,68.82,Yes
CASE00183,Environmental Law,Criminal Law,Environment-Forest,Kerala,Alappuzha,Low,8,2,9,110,9,6,57.2,Conditional
CASE00184,Bail Applications,Criminal Law,IPC-Murder,Gujarat,Vadodara,Low,2,4,3,347,2,2,47,Conditional
CASE00185,Bail Applications,Criminal Law,IPC-Hurt,West Bengal,Hooghly,High,6,10,5,322,4,5,26,No
CASE00186,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Cyber Stalking,Madhya Pradesh,Bhopal,High,10,3,7,289,6,4,34,No
CASE00187,Motor Accident Claims,Civil Law,Torts-Motor Accident,Punjab,Chandigarh,Low,3,6,6,239,9,6,79,Yes
CASE00188,Immigration & Passport Matters,Administrative Law,Licensing,West Bengal,Hooghly,High,5,2,6,318,10,5,27,No
CASE00189,Company / Insolvency (NCLT-NCLAT),Corporate Law,Insolvency,Haryana,Ambala,Medium,5,5,5,323,3,5,43,Conditional
CASE00190,Family Disputes,Family Law,Child Custody-Physical,Delhi,North Delhi,Medium,4,5,5,343,5,5,74.52,Yes
CASE00191,Intellectual Property,Civil Law,Design,West Bengal,Siliguri,Medium,5,4,3,380,10,3,64,Yes
CASE00192,Immigration & Passport Matters,Administrative Law,Licensing,Punjab,Jalandhar,Medium,1,9,4,400,7,3,33,No
CASE00193,Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,Assam,Jorhat,Low,9,3,8,385,10,2,62,Yes
CASE00194,Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,Punjab,Bathinda,Low,3,1,3,313,10,5,50,Conditional
CASE00195,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Phishing,Kerala,Kollam,Low,1,4,8,213,4,2,26.4,No
CASE00196,Insurance Claims,Consumer Law,Torts-Motor Accident,Delhi,East Delhi,Low,5,10,8,155,7,4,70.2,Yes
CASE00197,Banking & Debt Recovery,Corporate Law,Insolvency,Madhya Pradesh,Ujjain,Medium,4,8,3,53,3,3,39,No
CASE00198,Medical Negligence,Civil Law,Torts-Medical Negligence,Karnataka,Bangalore,Medium,9,5,5,275,2,6,74.88,Yes
CASE00199,Corporate & Commercial Law,Corporate Law,Arbitration-Challenge,Uttar Pradesh,Varanasi,Low,7,10,6,158,4,2,59.8,Conditional
CASE00200,Real Estate & RERA,Property Law,Housing-Society,Punjab,Chandigarh,Medium,8,4,4,203,4,6,65,Yes
CASE00201,Intellectual Property,Civil Law,Copyright,Kerala,Kochi,Low,10,10,7,33,6,3,100,Yes
CASE00202,Banking & Debt Recovery,Corporate Law,Contract-Breach,Assam,Jorhat,Medium,4,8,4,227,5,2,37,No
CASE00203,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Rajasthan,Bikaner,High,1,2,5,103,3,6,9.3,No
CASE00204,Consumer Protection,Consumer Law,Products-Electronic,Assam,Dibrugarh,Low,7,8,8,146,6,2,68,Yes
CASE00205,Arbitration & Mediation,Corporate Law,Arbitration-International,West Bengal,Siliguri,Low,9,6,8,262,6,4,57,Conditional
